,IMAGE_NUMBER,REAL_NAME,MALE,FEMALE,SELECT,PAPER,PAPER_NUMBER,CORRECT
2,3.0,U0005.bmp,35.0,65.0,No,Yes,1,Not agreed
3,4.0,U0006.bmp,10.0,90.0,Select,Yes,2,Female
4,5.0,U0009.bmp,0,100.0,Select,Yes,3,Female
5,6.0,U0010.bmp,45.0,55.00000000000001,No,Yes,4,Not agreed
6,7.0,U0011.bmp,5.0,95.0,Select,Yes,5,Female
7,8.0,U0012.bmp,95.0,5.0,Select,Yes,6,Male
8,9.0,U0014.bmp,95.0,5.0,Select,Yes,7,Male
9,10.0,U0015.bmp,75.0,25.0,No,Yes,8,Not agreed
15,16.0,U0024.bmp,10.0,90.0,Select,Yes,9,Female
19,20.0,U0028.bmp,30.0,70.0,No,Yes,10,Not agreed
20,21.0,U0030.bmp,10.0,90.0,Select,Yes,11,Female
22,23.0,U0033.bmp,40.0,60.0,No,Yes,12,Not agreed
23,24.0,U0034.bmp,0,100.0,Select,Yes,13,Female
26,27.0,U0038.bmp,100.0,0,Select,Yes,14,Male
28,29.0,U0041.bmp,50.0,50.0,No,Yes,15,Not agreed
29,30.0,U0042.bmp,75.0,25.0,No,Yes,16,Not agreed
30,31.0,U0046.bmp,100.0,0,Select,Yes,17,Male
31,32.0,U0047.bmp,70.0,30.0,No,Yes,18,Not agreed
38,39.0,U0059.bmp,35.0,65.0,No,Yes,19,Not agreed
39,40.0,U0061.bmp,0,100.0,Select,Yes,20,Female
41,42.0,U0068.bmp,90.0,10.0,Select,Yes,21,Male
44,45.0,U0072.bmp,45.0,55.00000000000001,No,Yes,22,Not agreed
45,46.0,U0073.bmp,40.0,60.0,No,Yes,23,Not agreed
46,47.0,U0074.bmp,100.0,0,Select,Yes,24,Male
49,50.0,U0078.bmp,70.0,30.0,No,Yes,25,Not agreed
53,54.0,U0086.bmp,0,100.0,Select,Yes,26,Female
54,55.0,U0087.bmp,15.0,85.0,No,Yes,27,Not agreed
57,58.0,U0093.bmp,70.0,30.0,No,Yes,28,Not agreed
59,60.0,U0096.bmp,95.0,5.0,Select,Yes,29,Male
62,63.0,U0103.bmp,55.00000000000001,45.0,No,Yes,30,Not agreed
64,65.0,U0107.bmp,10.0,90.0,Select,Yes,31,Female
69,70.0,U0120.bmp,40.0,60.0,No,Yes,32,Not agreed
70,71.0,U0121.bmp,95.0,5.0,Select,Yes,33,Male
71,72.0,U0122.bmp,95.0,5.0,Select,Yes,34,Male
72,73.0,U0123.bmp,0,100.0,Select,Yes,35,Female
77,78.0,U0129.bmp,15.0,85.0,No,Yes,36,Not agreed
78,79.0,U0131.bmp,85.0,15.0,No,Yes,37,Not agreed
80,81.0,U0134.bmp,10.0,90.0,Select,Yes,38,Female
83,84.0,U0138.bmp,25.0,75.0,No,Yes,39,Not agreed
84,85.0,U0139.bmp,50.0,50.0,No,Yes,40,Not agreed
89,90.0,U0145.bmp,15.0,85.0,No,Yes,41,Not agreed
103,104.0,U0168.bmp,60.0,40.0,No,Yes,42,Not agreed
105,106.0,U0173.bmp,10.0,90.0,Select,Yes,43,Female
107,108.0,U0178.bmp,100.0,0,Select,Yes,44,Male
108,109.0,U0179.bmp,75.0,25.0,No,Yes,45,Not agreed
110,111.0,U0182.bmp,25.0,75.0,No,Yes,46,Not agreed
111,112.0,U0183.bmp,70.0,30.0,No,Yes,47,Not agreed
112,113.0,U0186.bmp,15.0,85.0,No,Yes,48,Not agreed
113,114.0,U0187.bmp,80.0,20.0,No,Yes,49,Not agreed
114,115.0,U0188.bmp,15.0,85.0,No,Yes,50,Not agreed
117,118.0,U0193.bmp,5.0,95.0,Select,Yes,51,Female
119,120.0,U0195.bmp,40.0,60.0,No,Yes,52,Not agreed
120,121.0,U0197.bmp,100.0,0,Select,Yes,53,Male
125,126.0,U0207.bmp,100.0,0,Select,Yes,54,Male
130,131.0,U0214.bmp,5.0,95.0,Select,Yes,55,Female
132,133.0,U0217.bmp,95.0,5.0,Select,Yes,56,Male
138,139.0,U0228.bmp,100.0,0,Select,Yes,57,Male
140,141.0,U0230.bmp,35.0,65.0,No,Yes,58,Not agreed
147,148.0,U0242.bmp,70.0,30.0,No,Yes,59,Not agreed
148,149.0,U0244.bmp,10.0,90.0,Select,Yes,60,Female
150,151.0,U0248.bmp,100.0,0,Select,Yes,61,Male
153,154.0,U0254.bmp,95.0,5.0,Select,Yes,62,Male
155,156.0,U0258.bmp,0,100.0,Select,Yes,63,Female
156,157.0,U0260.bmp,85.0,15.0,No,Yes,64,Not agreed
166,167.0,U0280.bmp,20.0,80.0,No,Yes,65,Not agreed
174,175.0,U0294.bmp,40.0,60.0,No,Yes,66,Not agreed
184,185.0,U0309.bmp,5.0,95.0,Select,Yes,67,Female
185,186.0,U0312.bmp,95.0,5.0,Select,Yes,68,Male
209,210.0,U0357.bmp,100.0,0,Select,Yes,69,Male
216,217.0,U0368.bmp,0,100.0,Select,Yes,70,Female
217,218.0,U0369.bmp,5.0,95.0,Select,Yes,71,Female
222,223.0,U0377.bmp,5.0,95.0,Select,Yes,72,Female
227,228.0,U0387.bmp,75.0,25.0,No,Yes,73,Not agreed
228,229.0,U0393.bmp,100.0,0,Select,Yes,74,Male
230,231.0,U0396.bmp,25.0,75.0,No,Yes,75,Not agreed
231,232.0,U0397.bmp,5.0,95.0,Select,Yes,76,Female
234,235.0,U0400.bmp,90.0,10.0,Select,Yes,77,Male
235,236.0,U0401.bmp,95.0,5.0,Select,Yes,78,Male
238,239.0,U0406.bmp,45.0,55.00000000000001,No,Yes,79,Not agreed
240,241.0,U0411.bmp,100.0,0,Select,Yes,80,Male
241,242.0,U0412.bmp,25.0,75.0,No,Yes,81,Not agreed
242,243.0,U0415.bmp,100.0,0,Select,Yes,82,Male
245,246.0,U0419.bmp,75.0,25.0,No,Yes,83,Not agreed
248,249.0,U0432.bmp,95.0,5.0,Select,Yes,84,Male
250,251.0,U0435.bmp,100.0,0,Select,Yes,85,Male
251,252.0,U0436.bmp,30.0,70.0,No,Yes,86,Not agreed
252,253.0,U0441.bmp,85.0,15.0,No,Yes,87,Not agreed
253,254.0,U0443.bmp,95.0,5.0,Select,Yes,88,Male
255,256.0,U0448.bmp,20.0,80.0,No,Yes,89,Not agreed
256,257.0,U0451.bmp,90.0,10.0,Select,Yes,90,Male
259,260.0,U0459.bmp,95.0,5.0,Select,Yes,91,Male
260,261.0,U0461.bmp,95.0,5.0,Select,Yes,92,Male
261,262.0,U0462.bmp,50.0,50.0,No,Yes,93,Not agreed
262,263.0,U0464.bmp,25.0,75.0,No,Yes,94,Not agreed
263,264.0,U0470.bmp,65.0,35.0,No,Yes,95,Not agreed
272,273.0,U0503.bmp,10.0,90.0,Select,Yes,96,Female
